iter	Passed	Remaining
258	1385	3963
259	1393	3965
260	1401	3969
261	1410	3972
262	1419	3977
263	1428	3981
264	1435	3982
265	1442	3979
266	1450	3981
267	1456	3977
268	1464	3979
269	1472	3981
270	1481	3984
271	1489	3985
272	1497	3987
273	1505	3987
274	1512	3988
275	1520	3988
276	1528	3988
277	1535	3988
278	1542	3987
279	1550	3986
280	1557	3985
281	1564	3983
282	1571	3981
283	1578	3980
284	1585	3977
285	1592	3974
286	1598	3972
287	1605	3968
288	1612	3965
289	1618	3962
290	1625	3959
291	1631	3956
292	1638	3953
293	1644	3949
294	1651	3946
295	1657	3942
296	1664	3939
297	1671	3936
298	1677	3932
299	1683	3929
300	1690	3925
301	1696	3921
302	1703	3917
303	1709	3913
304	1716	3910
305	1723	3907
306	1726	3898
307	1733	3894
308	1740	3892
309	1747	3888
310	1753	3885
311	1760	3881
312	1766	3877
313	1773	3874
314	1779	3870
315	1786	3867
316	1793	3863
317	1799	3859
318	1805	3855
319	1812	3851
320	1819	3848
321	1825	3844
322	1832	3840
323	1838	3836
324	1845	3832
325	1851	3828
326	1858	3823
327	1864	3819
328	1870	3815
329	1876	3810
330	1883	3806
331	1889	3801
332	1895	3797
333	1902	3793
334	1908	3788
335	1914	3784
336	1920	3777
337	1924	3769
338	1928	3761
339	1933	3753
340	1937	3744
341	1941	3735
342	1946	3728
343	1950	3720
344	1955	3711
345	1959	3703
346	1963	3695
347	1968	3687
348	1972	3678
349	1976	3670
350	1980	3662
351	1984	3654
352	1989	3646
353	1993	3637
354	1997	3629
355	2001	3621
356	2006	3613
357	2010	3605
358	2014	3597
359	2018	3588
360	2023	3580
361	2027	3572
362	2031	3564
363	2035	3556
364	2039	3548
365	2044	3541
366	2048	3533
367	2052	3525
368	2056	3517
369	2061	3510
370	2065	3502
371	2070	3494
372	2074	3486
373	2078	3479
374	2083	3471
375	2087	3463
376	2091	3455
377	2095	3448
378	2099	3440
379	2104	3432
380	2108	3425
381	2112	3417
382	2116	3409
383	2121	3402
384	2125	3395
385	2129	3387
386	2133	3380
387	2138	3372
388	2142	3365
389	2146	3357
390	2150	3350
391	2155	3342
392	2159	3335
393	2163	3327
394	2167	3320
395	2171	3312
396	2176	3305
397	2180	3298
398	2184	3290
399	2188	3283
400	2193	3276
401	2197	3268
402	2201	3261
403	2205	3254
404	2211	3248
405	2215	3241
406	2219	3234
407	2224	3227
408	2228	3220
409	2232	3212
410	2236	3205
411	2241	3198
412	2245	3191
413	2249	3184
414	2253	3177
415	2258	3170
416	2262	3163
417	2266	3156
418	2271	3149
419	2275	3142
420	2279	3135
421	2284	3128
422	2288	3121
423	2292	3114
424	2296	3107
425	2300	3100
426	2305	3093
427	2309	3086
428	2313	3079
429	2318	3072
430	2322	3066
431	2326	3059
432	2330	3052
433	2335	3045
434	2339	3038
435	2343	3031
436	2347	3024
437	2352	3018
438	2356	3011
439	2360	3004
440	2364	2997
441	2369	2990
442	2373	2984
443	2377	2977
444	2382	2970
445	2386	2964
446	2391	2958
447	2395	2951
448	2400	2945
449	2404	2939
450	2408	2932
451	2413	2925
452	2417	2918
453	2421	2912
454	2425	2905
455	2430	2899
456	2434	2892
457	2438	2886
458	2443	2879
459	2447	2873
460	2452	2867
461	2456	2860
462	2460	2854
463	2465	2847
464	2469	2841
465	2473	2834
466	2478	2828
467	2482	2821
468	2486	2815
469	2490	2808
470	2495	2802
471	2499	2796
472	2504	2789
473	2508	2783
474	2512	2777
475	2517	2771
476	2521	2764
477	2525	2758
478	2529	2751
479	2534	2745
480	2538	2739
481	2542	2732
482	2546	2726
483	2551	2719
484	2555	2713
485	2559	2706
486	2563	2700
487	2568	2694
488	2572	2687
489	2576	2681
490	2580	2675
491	2584	2668
492	2588	2662
493	2593	2656
494	2597	2649
495	2601	2643
496	2605	2637
497	2610	2631
498	2615	2626
499	2620	2620
500	2624	2614
501	2629	2608
502	2633	2602
503	2637	2596
504	2642	2589
505	2646	2583
506	2650	2577
507	2654	2571
508	2659	2565
509	2663	2559
510	2667	2553
511	2671	2546
512	2676	2540
513	2680	2534
514	2684	2528
515	2689	2522
516	2694	2516
517	2698	2511
518	2702	2505
519	2707	2499
520	2711	2493
521	2716	2487
522	2720	2481
523	2724	2474
524	2728	2468
525	2733	2462
526	2737	2456
527	2741	2450
528	2746	2444
529	2750	2438
530	2754	2432
531	2758	2426
532	2762	2420
533	2767	2414
534	2771	2408
535	2775	2402
536	2779	2396
537	2783	2390
538	2787	2384
539	2792	2378
540	2796	2372
541	2800	2366
542	2804	2360
543	2808	2354
544	2813	2348
545	2817	2343
546	2822	2337
547	2827	2332
548	2832	2326
549	2837	2321
550	2841	2315
551	2846	2310
552	2850	2304
553	2855	2298
554	2860	2293
555	2864	2287
556	2869	2281
557	2873	2276
558	2878	2270
559	2883	2265
560	2887	2259
561	2892	2254
562	2896	2248
563	2901	2242
564	2905	2237
565	2910	2231
566	2915	2226
567	2920	2220
568	2924	2215
569	2929	2209
570	2933	2204
571	2938	2198
572	2943	2193
573	2947	2187
574	2952	2181
575	2957	2176
576	2961	2171
577	2966	2165
578	2971	2160
579	2975	2154
580	2980	2149
581	2985	2144
582	2991	2139
583	2997	2134
584	3002	2130
585	3009	2126
586	3015	2121
587	3022	2117
588	3029	2113
589	3036	2109
590	3043	2105
591	3049	2101
592	3056	2098
593	3063	2094
594	3071	2090
595	3078	2086
596	3086	2083
597	3094	2079
598	3102	2076
599	3109	2073
600	3117	2069
601	3125	2066
602	3132	2062
603	3139	2058
604	3146	2054
605	3153	2050
606	3160	2046
607	3166	2041
608	3173	2037
609	3180	2033
610	3187	2029
611	3194	2025
612	3201	2021
613	3208	2016
614	3214	2012
615	3221	2008
616	3228	2003
617	3235	1999
618	3241	1995
619	3248	1991
620	3255	1986
621	3262	1982
622	3268	1977
623	3275	1973
624	3281	1969
625	3288	1964
626	3294	1960
627	3301	1955
628	3308	1951
629	3314	1946
630	3321	1942
631	3327	1937
632	3334	1933
633	3341	1928
634	3348	1924
635	3354	1920
636	3361	1915
637	3367	1910
638	3374	1906
639	3381	1901
640	3387	1897
641	3394	1892
642	3400	1888
643	3407	1883
644	3414	1879
645	3420	1874
646	3428	1870
647	3435	1866
648	3442	1861
649	3448	1857
650	3455	1852
651	3462	1848
652	3469	1843
653	3475	1838
654	3482	1834
655	3489	1829
656	3496	1825
657	3502	1820
658	3509	1815
659	3515	1811
660	3522	1806
661	3529	1801
662	3535	1797
663	3542	1792
664	3549	1787
665	3556	1783
666	3563	1778
667	3569	1774
668	3576	1769
669	3582	1764
670	3589	1760
671	3596	1755
672	3603	1750
673	3610	1746
674	3616	1741
675	3623	1736
676	3629	1731
677	3636	1726
678	3642	1722
679	3648	1717
680	3655	1712
681	3662	1707
682	3668	1702
683	3675	1698
684	3682	1693
685	3688	1688
686	3695	1683
687	3701	1678
688	3708	1673
689	3714	1668
690	3721	1664
691	3727	1659
692	3734	1654
693	3740	1649
694	3747	1644
695	3753	1639
696	3760	1634
697	3766	1629
698	3773	1624
699	3779	1619
700	3786	1614
701	3792	1609
702	3798	1604
703	3805	1600
704	3811	1594
705	3818	1590
706	3825	1585
707	3832	1580
708	3838	1575
709	3845	1570
710	3852	1565
711	3858	1560
712	3865	1555
713	3871	1550
714	3877	1545
715	3884	1540
716	3890	1535
717	3896	1530
718	3903	1525
719	3909	1520
720	3915	1515
721	3922	1510
722	3928	1505
723	3934	1500
724	3941	1494
725	3947	1489
726	3954	1484
727	3960	1479
728	3966	1474
729	3973	1469
730	3979	1464
731	3985	1459
732	3992	1454
733	3996	1448
734	4000	1442
735	4004	1436
736	4009	1430
737	4013	1424
738	4017	1418
739	4021	1413
740	4026	1407
741	4030	1401
742	4034	1395
743	4038	1389
744	4042	1383
745	4047	1378
746	4051	1372
747	4055	1366
748	4059	1360
749	4064	1354
750	4068	1348
751	4072	1343
752	4076	1337
753	4081	1331
754	4085	1325
755	4089	1320
756	4094	1314
757	4098	1308
758	4102	1302
759	4106	1296
760	4111	1291
761	4115	1285
762	4119	1279
763	4123	1273
764	4128	1268
765	4132	1262
766	4136	1256
767	4140	1250
768	4145	1245
769	4149	1239
770	4153	1233
771	4157	1227
772	4162	1222
773	4166	1216
774	4170	1210
775	4175	1205
776	4179	1199
777	4183	1193
778	4188	1188
779	4192	1182
780	4196	1176
781	4201	1171
782	4205	1165
783	4210	1160
784	4215	1154
785	4219	1148
786	4223	1143
787	4228	1137
788	4232	1131
789	4236	1126
790	4241	1120
791	4245	1114
792	4249	1109
793	4253	1103
794	4258	1098
795	4262	1092
796	4266	1086
797	4270	1081
798	4275	1075
799	4279	1069
800	4283	1064
801	4289	1058
802	4293	1053
803	4297	1047
804	4302	1042
805	4306	1036
806	4310	1030
807	4314	1025
808	4319	1019
809	4323	1014
810	4327	1008
811	4331	1002
812	4336	997
813	4341	991
814	4345	986
815	4349	980
816	4354	975
817	4358	969
818	4363	964
819	4367	958
820	4371	953
821	4376	947
822	4380	942
823	4384	936
824	4388	930
825	4393	925
826	4397	919
827	4401	914
828	4405	908
829	4410	903
830	4414	897
831	4418	892
832	4423	886
833	4427	881
834	4431	875
835	4436	870
836	4440	864
837	4444	859
838	4448	853
839	4453	848
840	4457	842
841	4461	837
842	4465	831
843	4470	826
844	4474	820
845	4478	815
846	4483	809
847	4487	804
848	4491	798
849	4495	793
850	4500	787
851	4504	782
852	4508	777
853	4513	771
854	4517	766
855	4521	760
856	4526	755
857	4530	749
858	4535	744
859	4539	739
860	4543	733
861	4548	728
862	4552	722
863	4556	717
864	4561	711
865	4565	706
866	4569	701
867	4574	695
868	4578	690
869	4583	684
870	4587	679
871	4592	674
872	4597	668
873	4602	663
874	4606	658
875	4610	652
876	4615	647
877	4619	641
878	4623	636
879	4628	631
880	4632	625
881	4636	620
882	4640	614
883	4645	609
884	4649	604
885	4653	598
886	4658	593
887	4663	588
888	4667	582
889	4672	577
890	4676	572
891	4681	566
892	4685	561
893	4689	556
894	4694	550
895	4698	545
896	4702	540
897	4707	534
898	4711	529
899	4715	523
900	4720	518
901	4724	513
902	4728	507
903	4733	502
904	4737	497
905	4741	491
906	4746	486
907	4750	481
908	4754	475
909	4758	470
910	4763	465
911	4767	459
912	4771	454
913	4775	449
914	4780	444
915	4784	438
916	4788	433
917	4792	428
918	4797	422
919	4801	417
920	4805	412
921	4809	406
922	4814	401
923	4818	396
924	4822	391
925	4827	385
926	4831	380
927	4835	375
928	4839	369
929	4844	364
930	4848	359
931	4852	354
932	4857	348
933	4861	343
934	4865	338
935	4869	332
936	4874	327
937	4878	322
938	4882	317
939	4887	311
940	4891	306
941	4895	301
942	4900	296
943	4904	290
944	4909	285
945	4913	280
946	4917	275
947	4921	269
948	4926	264
949	4930	259
950	4934	254
951	4938	249
952	4943	243
953	4947	238
954	4951	233
955	4955	228
956	4960	222
957	4964	217
958	4968	212
959	4972	207
960	4977	201
961	4981	196
962	4985	191
963	4990	186
964	4994	181
965	4998	175
966	5003	170
967	5008	165
968	5012	160
969	5016	155
970	5021	149
971	5025	144
972	5029	139
973	5034	134
974	5038	129
975	5042	124
976	5046	118
977	5051	113
978	5055	108
979	5060	103
980	5065	98
981	5071	92
982	5076	87
983	5082	82
984	5089	77
985	5095	72
986	5102	67
987	5108	62
988	5114	56
989	5121	51
990	5128	46
991	5134	41
992	5141	36
993	5148	31
994	5155	25
995	5162	20
996	5169	15
997	5176	10
998	5183	5
999	5190	0
