iter	RMSE
186	4458299.246
187	4406470.462
188	4355245.278
189	4304615.084
190	4254565.427
191	4205093.124
192	4156210.481
193	4107896.859
194	4060144.474
195	4012947.475
196	3966300.067
197	3920195.745
198	3874627.161
199	3829589.976
200	3785072.35
201	3741072.719
202	3697589.2
203	3654611.005
204	3612133.428
205	3570150.155
206	3528655.87
207	3487644.419
208	3447110.018
209	3407047.085
210	3367450.458
211	3328309.977
212	3289628.248
213	3251398.529
214	3213613.425
215	3176267.662
216	3139356.631
217	3102875.117
218	3066816.781
219	3031180.265
220	2995958.132
221	2961146.321
222	2926738.004
223	2892728.906
224	2859118.337
225	2825898.727
226	2793064.962
227	2760614.564
228	2728542.537
229	2696841.357
230	2665510.305
231	2634544.08
232	2603938.344
233	2573689.476
234	2543792.844
235	2514241.171
236	2485032.551
237	2456168.572
238	2427640.229
239	2399440.969
240	2371571.685
241	2344027.883
242	2316802.904
243	2289897.6
244	2263305.715
245	2237022.59
246	2211046.532
247	2185369.932
248	2159995.252
249	2134913.139
250	2110122.208
251	2085622.838
252	2061410.114
253	2037477.861
254	2013824.087
255	1990447.55
256	1967343.449
257	1944507.052
258	1921938.895
259	1899633.425
260	1877585.537
261	1855792.641
262	1834257.511
263	1812972.111
264	1791936.852
265	1771144.762
266	1750597.154
267	1730288.595
268	1710216.4
269	1690378.493
270	1670771.712
271	1651393.737
272	1632241.244
273	1613311.58
274	1594604.118
275	1576114.387
276	1557840.286
277	1539779.735
278	1521928.608
279	1504285.023
280	1486848.03
281	1469615.258
282	1452582.663
283	1435750.589
284	1419113.163
285	1402670.835
286	1386421.323
287	1370361.331
288	1354488.241
289	1338801.257
290	1323297.239
291	1307971.442
292	1292825.407
293	1277858.459
294	1263066.054
295	1248444.432
296	1233990.845
297	1219706.132
298	1205589.387
299	1191641.451
300	1177852.32
301	1164222.019
302	1150752.186
303	1137437.833
304	1124279.205
305	1111274.216
306	1098425.244
307	1085723.799
308	1073168.609
309	1060760.027
310	1048496.606
311	1036376.065
312	1024397.184
313	1012558.438
314	1000857.571
315	989294.6136
316	977866.3342
317	966572.1584
318	955409.5305
319	944377.921
320	933476.1392
321	922701.1427
322	912052.6923
323	901528.6726
324	891129.095
325	880850.3786
326	870693.1923
327	860654.2968
328	850732.7305
329	840927.5726
330	831237.8247
331	821661.6418
332	812197.6619
333	802844.7349
334	793601.6039
335	784467.0653
336	775439.9001
337	766518.7156
338	757702.4715
339	748989.7038
340	740379.4768
341	731870.518
342	723461.6343
343	715151.6315
344	706939.3631
345	698823.8629
346	690803.7842
347	682875.7829
348	675043.4833
349	667303.4954
350	659652.3145
351	652091.4095
352	644621.7595
353	637240.2486
354	629945.9074
355	622737.5815
356	615614.4293
357	608575.362
358	601617.0239
359	594743.2548
360	587950.7398
361	581236.2249
362	574603.3678
363	568049.0835
364	561572.2762
365	555172.2425
366	548845.5449
367	542596.1751
368	536420.9243
369	530318.8786
370	524289.2581
371	518331.2535
372	512441.441
373	506624.0586
374	500875.8647
375	495193.5418
376	489581.2508
377	484035.7692
378	478556.3201
379	473142.2031
380	467792.6049
381	462506.8574
382	457284.2106
383	452121.2722
384	447022.6093
385	441984.937
386	437004.8674
387	432084.3273
388	427222.6488
389	422421.8595
390	417678.6544
391	412992.3895
392	408362.3978
393	403782.5284
394	399263.1306
395	394795.3225
396	390384.0529
397	386025.9428
398	381717.623
399	377464.0206
400	373258.9701
401	369107.5289
402	365006.3187
403	360951.8386
404	356949.3849
405	352992.5236
406	349083.6359
407	345225.1231
408	341410.542
409	337642.3119
410	333922.9751
411	330248.9835
412	326616.7687
413	323031.9691
414	319491.0278
415	315993.4873
416	312535.6256
417	309120.0851
418	305749.676
419	302417.4693
420	299129.4981
421	295878.7903
422	292671.4005
423	289503.6731
424	286371.8157
425	283278.6511
426	280227.1843
427	277210.1846
428	274234.0557
429	271291.5839
430	268389.1719
431	265523.0356
432	262689.2409
433	259894.3533
434	257130.9736
435	254405.8258
436	251711.318
437	249054.3485
438	246430.9042
439	243836.9268
440	241279.4439
441	238750.6864
442	236253.9298
443	233788.8849
444	231358.9106
445	228959.9729
446	226587.9417
447	224250.0464
448	221942.1734
449	219664.0168
450	217415.2167
451	215195.4784
452	212996.4345
453	210829.7495
454	208695.1293
455	206584.2985
456	204504.921
457	202452.7376
458	200427.4791
459	198428.8105
460	196456.4735
461	194505.8964
462	192576.7311
463	190681.4323
464	188811.3401
465	186961.8467
466	185141.2263
467	183344.9658
468	181572.7765
469	179815.6168
470	178090.7413
471	176389.1719
472	174710.6547
473	173050.384
474	171417.1328
475	169806.1756
476	168212.6854
477	166645.5726
478	165100.0133
479	163575.7949
480	162058.5655
481	160576.1004
482	159114.2675
483	157672.8707
484	156251.6372
485	154845.5494
486	153463.939
487	152101.8098
488	150758.9664
489	149425.399
490	148120.4185
491	146829.121
492	145561.17
493	144311.4242
494	143079.6797
495	141865.7694
496	140669.5112
497	139485.4805
498	138323.7919
499	137168.8122
500	136040.825
501	134929.4545
502	133834.5589
503	132750.6343
504	131687.9821
505	130641.2136
506	129589.2289
507	128573.3966
508	127572.8608
509	126587.4986
510	125617.1178
511	124661.4943
512	123720.4875
513	122793.8852
514	121881.5146
515	120983.2449
516	120093.3832
517	119222.7365
518	118365.6629
519	117521.9883
520	116669.3644
521	115851.7578
522	115047.0709
523	114255.1816
524	113475.9346
525	112709.0364
526	111954.4184
527	111211.9213
528	110481.3199
529	109762.5513
530	109027.1011
531	108331.2555
532	107646.7357
533	106973.4312
534	106311.2007
535	105659.7931
536	105019.1239
537	104389.0936
538	103769.5319
539	103132.0264
540	102532.7258
541	101943.4751
542	101364.1245
543	100794.5097
544	100234.5333
545	99684.02525
546	99142.90731
547	98611.0149
548	98088.17701
549	97574.32137
550	97069.3228
551	96572.99185
552	96085.22429
553	94197.2234
554	93720.20721
555	93251.50408
556	92762.17222
557	90977.11313
558	90526.64026
559	88833.16413
560	88392.91837
561	87960.46975
562	87535.66207
563	87118.32031
564	86708.30327
565	85104.63865
566	84704.21322
567	83198.95377
568	82790.96793
569	82406.7128
570	82023.53879
571	81652.78195
572	80341.44573
573	79979.63307
574	79624.8079
575	78260.33363
576	77914.12904
577	77558.96475
578	77225.13229
579	76027.60168
580	75702.26076
581	75383.2275
582	75059.33243
583	74751.63729
584	73488.70368
585	73178.70293
586	72064.6898
587	71772.69127
588	71485.91273
589	71195.05733
590	70044.49281
591	69770.71831
592	68711.34135
593	68444.83723
594	68183.03884
595	67194.58373
596	66939.59163
597	66680.42596
598	66430.32497
599	66189.7178
600	65343.35198
601	65109.88068
602	64872.26891
603	64647.79341
604	63674.18728
605	63455.76835
606	63241.58402
607	63023.28374
608	62190.39852
609	61345.04958
610	61142.41351
611	60943.93705
612	60185.65252
613	59992.63973
614	59803.43895
615	59618.11167
616	59436.36579
617	58661.66308
618	58474.30279
619	58301.13367
620	58131.24728
621	57334.95738
622	57169.91303
623	57008.10268
624	56839.13194
625	56273.81621
626	56119.62269
627	55968.856
628	55281.67081
629	55135.14465
630	54991.54127
631	54847.09874
632	54709.07297
633	54013.19987
634	53869.37492
635	53305.36792
636	53175.31379
637	52624.37412
638	52498.51168
639	52371.80399
640	52250.89693
641	52132.35891
642	51554.12299
643	51252.42611
644	51139.14072
645	51028.38323
646	50551.15788
647	50443.62139
648	50325.42949
649	50222.24822
650	50120.91054
651	49636.39961
652	49538.17052
653	49441.92928
654	49347.78663
655	49242.72974
656	48722.85091
657	48339.11163
658	48250.53924
659	48163.63865
660	47705.70731
661	47621.67102
662	47539.28678
663	47446.32263
664	47367.18662
665	46909.90814
666	46618.1787
667	46542.39853
668	46468.25791
669	46395.69647
670	45920.6176
671	45850.11814
672	45769.30823
673	45422.13741
674	45100.45047
675	45034.15599
676	44969.41713
677	44905.81576
678	44494.59093
679	44433.06479
680	44361.30237
681	44302.06002
682	43914.04572
683	43856.64822
684	43800.39745
685	43472.61554
686	43418.18571
687	43364.73744
688	43132.27592
689	43080.66317
690	42879.23444
691	42829.22528
692	42780.20393
693	42448.62029
694	42401.15185
695	42339.20759
696	41996.84467
697	41951.38939
698	41906.97731
699	41690.49894
700	41647.54058
701	41343.42106
702	41285.22006
703	41244.37837
704	41204.30667
705	40891.06805
706	40852.22526
707	40814.14447
708	40554.22229
709	40517.29582
710	40296.07034
711	40260.36546
712	39958.02404
713	39923.27519
714	39635.86349
715	39602.06871
716	39505.01067
717	39472.48538
718	39440.5663
719	39398.88557
720	39368.09742
721	39337.82852
722	39106.76881
723	39077.32115
724	39048.45273
725	38782.65609
726	38754.55656
727	38452.919
728	38425.53007
729	38127.87221
730	38101.18917
731	38075.11083
732	37863.56401
733	37798.75388
734	37773.7842
735	37749.28978
736	37661.37918
737	37602.68997
738	37345.27193
739	37075.8718
740	37052.8774
741	36994.84953
742	36972.6278
743	36897.29217
744	36637.47187
745	36616.04788
746	36392.8368
747	36161.90612
748	36130.08858
749	35925.87231
750	35905.71482
751	35735.80839
752	35540.93767
753	35305.6954
754	35238.73569
755	35037.65257
756	34914.05936
757	34716.98937
758	34698.57942
759	34584.17814
760	34347.81583
761	34183.06444
762	34117.06865
763	34099.78024
764	34082.85916
765	33864.22221
766	33783.69385
767	33767.42076
768	33601.21991
769	33436.87835
770	33297.82276
771	33103.66659
772	33088.21879
773	33073.09718
774	32926.19475
775	32753.34594
776	32642.60787
777	32554.48727
778	32356.81203
779	32187.7251
780	32173.53554
781	32017.87151
782	31911.19927
783	31792.30034
784	31709.68516
785	31546.09678
786	31394.02059
787	31316.85925
788	31218.5627
789	31196.86657
790	31044.13324
791	31031.10186
792	30911.36085
793	30804.76532
794	30657.75855
795	30551.19364
796	30441.76842
797	30426.2393
798	30414.04854
799	30296.16709
800	30173.92364
801	30031.66565
802	30016.75037
803	29888.82267
804	29771.2796
805	29666.70556
806	29531.72897
807	29466.51462
808	29309.9513
809	29227.40849
810	29118.72301
811	28981.19012
812	28904.82676
813	28746.238
814	28732.0251
815	28574.26851
816	28484.23945
817	28434.45904
818	28283.56093
819	28187.79841
820	28176.59794
821	28165.65458
822	28108.33761
823	28023.77955
824	28006.00139
825	27879.48961
826	27868.99321
827	27731.21777
828	27720.80313
829	27663.23796
830	27535.1351
831	27522.11274
832	27420.60581
833	27301.64377
834	27290.03984
835	27160.99711
836	27150.91572
837	27140.97473
838	26999.96251
839	26919.05725
840	26798.70004
841	26657.29879
842	26636.56132
843	26518.46364
844	26385.11087
845	26364.59993
846	26244.88597
847	26153.11555
848	26067.54022
849	25955.23211
850	25888.58887
851	25849.13966
852	25748.67831
853	25665.5455
854	25549.34156
855	25439.02382
856	25320.76411
857	25300.15381
858	25221.49888
859	25202.39562
860	25189.94089
861	25180.18211
862	25123.81864
863	25020.33377
864	24941.04554
865	24931.42947
866	24857.10735
867	24844.00046
868	24718.7518
869	24644.9781
870	24554.75645
871	24545.26684
872	24526.20528
873	24426.12516
874	24321.08796
875	24270.26535
876	24193.90435
877	24127.09485
878	24053.87941
879	23962.9872
880	23953.6106
881	23936.04351
882	23825.1844
883	23816.0987
884	23805.91551
885	23739.23042
886	23644.4359
887	23544.2469
888	23464.29343
889	23403.32606
890	23320.21772
891	23303.5638
892	23238.89261
893	23157.65295
894	23100.48888
895	23000.03402
896	22991.41225
897	22937.60723
898	22929.06266
899	22856.87755
900	22792.10904
901	22743.62306
902	22667.06527
903	22651.14552
904	22590.10376
905	22581.64065
906	22566.8381
907	22551.86355
908	22543.66155
909	22478.92633
910	22448.17134
911	22440.15034
912	22395.26608
913	22290.61097
914	22213.98161
915	22129.52143
916	22112.13691
917	22020.93397
918	22008.13565
919	21946.49107
920	21869.4507
921	21803.98489
922	21739.614
923	21722.09218
924	21618.07994
925	21552.59482
926	21488.91662
927	21480.83047
928	21463.7243
929	21399.85451
930	21330.09284
931	21271.63992
932	21218.09325
933	21150.10078
934	21096.99273
935	21088.95925
936	21033.00655
937	20975.3626
938	20967.4712
939	20959.69826
940	20909.10798
941	20842.23727
942	20795.74641
943	20725.94055
944	20661.28636
945	20612.44767
946	20549.57204
947	20537.13629
948	20529.41051
949	20521.77921
950	20462.85542
951	20434.02499
952	20426.59438
953	20413.05847
954	20405.72817
955	20330.78497
956	20253.49637
957	20224.78402
958	20166.04388
959	20121.55629
960	20114.29022
961	20036.85199
962	19984.77173
963	19925.58656
964	19913.53148
965	19906.42896
966	19848.08452
967	19841.11415
968	19799.96339
969	19793.06711
970	19773.28321
971	19723.19843
972	19711.13721
973	19636.34949
974	19620.28135
975	19604.07401
976	19586.60381
977	19544.06342
978	19527.24899
979	19475.19055
980	19468.34134
981	19400.48963
982	19362.0104
983	19338.22657
984	19331.47564
985	19260.36918
986	19209.30623
987	19131.59894
988	19116.63792
989	19064.7807
990	19013.90601
991	18971.05095
992	18964.37679
993	18921.97372
994	18915.40099
995	18899.6352
996	18837.96557
997	18795.05747
998	18747.90003
999	18741.37928
